,Name,Utility,Std
0,1-MG,218.23213313282668,0.0
1,O-LTE,218.23213313282668,0.0
2,CROSS,0.0,-1.0
3,GWOL,230.04953544633204,1.1763424278913428
4,PUMA,232.1501720085814,2.4603849174660435
