,Name,Utility,Std
0,1-MG,11977.544346204075,0.0
1,O-LTE,12588.96950808022,76.95866528431081
2,CROSS,0.0,-1.0
3,GWOL,13490.812386798596,272.94598405956685
4,PUMA,14075.466129690138,484.86129909685303
