,Name,Utility,Std
0,1-MG,11977.544346204075,0.0
1,O-LTE,13207.81599905165,429.5367364705756
2,CROSS,0.0,-1.0
3,GWOL,13249.578645681624,456.38278249998723
4,PUMA,14078.899601273148,1134.6893456113735
