,Name,Utility,Std,avgTileQuality
0,1-MG,3814.5535208739,0.0,1.125
1,O-LTE,4058.3458988070074,33.360353335006685,1.339923469387755
2,CROSS,0.0,-1.0,0.0
3,GWOL,4761.853895958409,86.45032640600147,1.5442329227323628
4,PUMA,4922.104231375487,63.64169366353311,1.7058823529411766
